Trial,Latency_us
0,869
1,89
2,75
3,79
4,73
5,106
6,77
7,74
8,76
9,77
10,77
11,73
12,69
13,70
14,69
15,71
16,70
17,66
18,68
19,68
20,214
21,79
22,75
23,73
24,72
25,71
26,68
27,71
28,71
29,74
30,74
31,83
32,69
33,66
34,65
35,65
36,63
37,61
38,62
39,80
40,66
41,63
42,66
43,64
44,66
45,65
46,62
47,63
48,65
49,65
50,63
51,65
52,70
53,76
54,71
55,98
56,73
57,69
58,71
59,68
60,68
61,68
62,68
63,69
64,67
65,66
66,66
67,65
68,64
69,65
70,66
71,65
72,65
73,65
74,65
75,65
76,64
77,66
78,68
79,66
80,66
81,66
82,66
83,66
84,66
85,66
86,115
87,88
88,70
89,71
90,70
91,71
92,68
93,68
94,67
95,70
96,70
97,68
98,71
99,69
100,77
101,63
102,59
103,60
104,60
105,62
106,60
107,62
108,61
109,58
110,60
111,61
112,63
113,59
114,60
115,61
116,61
117,61
118,59
119,61
120,62
121,60
122,59
123,61
124,67
125,67
126,65
127,64
128,61
129,63
130,60
131,61
132,62
133,61
134,60
135,62
136,63
137,60
138,63
139,61
140,62
141,59
142,60
143,60
144,61
145,60
146,62
147,62
148,60
149,176
150,61
151,60
152,62
153,61
154,63
155,63
156,63
157,62
158,60
159,60
160,60
161,64
162,68
163,65
164,64
165,65
166,61
167,61
168,63
169,62
170,60
171,62
172,63
173,62
174,63
175,63
176,61
177,62
178,63
179,62
180,63
181,62
182,64
183,63
184,62
185,66
186,65
187,62
188,63
189,62
190,61
191,61
192,62
193,62
194,63
195,63
196,64
197,61
198,61
199,62
200,82
201,77
202,61
203,62
204,61
205,61
206,58
207,60
208,60
209,58
210,57
211,58
212,59
213,59
214,56
215,55
216,56
217,57
218,55
219,57
220,57
221,57
222,55
223,60
224,57
225,57
226,58
227,56
228,56
229,55
230,55
231,57
232,55
233,58
234,58
235,57
236,58
237,56
238,57
239,58
240,70
241,61
242,59
243,61
244,58
245,58
246,57
247,58
248,56
249,58
250,57
251,56
252,56
253,57
254,59
255,57
256,60
257,58
258,57
259,58
260,59
261,60
262,61
263,55
264,56
265,57
266,58
267,55
268,59
269,56
270,57
271,55
272,60
273,59
274,77
275,243
276,58
277,55
278,135
279,74
280,60
281,59
282,59
283,61
284,59
285,61
286,62
287,62
288,61
289,60
290,57
291,58
292,54
293,59
294,58
295,61
296,58
297,61
298,58
299,56
300,59
301,59
302,57
303,58
304,57
305,56
306,56
307,80
308,55
309,54
310,54
311,54
312,55
313,54
314,54
315,55
316,55
317,66
318,65
319,59
320,55
321,55
322,55
323,56
324,55
325,55
326,54
327,56
328,52
329,55
330,63
331,52
332,52
333,51
334,52
335,53
336,51
337,53
338,52
339,54
340,52
341,53
342,52
343,54
344,51
345,52
346,51
347,52
348,51
349,53
350,56
351,55
352,53
353,53
354,53
355,53
356,54
357,53
358,52
359,87
360,65
361,56
362,51
363,54
364,55
365,54
366,53
367,56
368,52
369,53
370,54
371,55
372,52
373,51
374,54
375,51
376,53
377,53
378,51
379,52
380,53
381,56
382,54
383,55
384,52
385,53
386,54
387,52
388,53
389,51
390,64
391,67
392,54
393,55
394,54
395,50
396,52
397,54
398,52
399,55
400,53
401,53
402,60
403,53
404,55
405,56
406,55
407,52
408,52
409,51
410,55
411,54
412,51
413,54
414,51
415,52
416,52
417,53
418,52
419,52
420,54
421,52
422,54
423,53
424,53
425,53
426,52
427,53
428,52
429,55
430,56
431,52
432,53
433,54
434,51
435,53
436,52
437,53
438,52
439,50
440,52
441,53
442,50
443,52
444,51
445,61
446,55
447,53
448,52
449,54
450,52
451,52
452,54
453,52
454,52
455,50
456,49
457,52
458,50
459,50
460,52
461,53
462,51
463,52
464,50
465,49
466,52
467,52
468,50
469,51
470,50
471,52
472,52
473,50
474,51
475,51
476,50
477,51
478,49
479,51
480,50
481,51
482,52
483,50
484,50
485,51
486,50
487,52
488,52
489,51
490,72
491,64
492,53
493,52
494,53
495,51
496,50
497,51
498,50
499,49
500,49
501,51
502,51
503,50
504,51
505,51
506,49
507,52
508,53
509,53
510,51
511,49
512,50
513,50
514,52
515,51
516,52
517,53
518,51
519,50
520,51
521,50
522,51
523,51
524,50
525,53
526,186
527,49
528,49
529,50
530,50
531,49
532,51
533,73
534,63
535,50
536,51
537,54
538,52
539,54
540,53
541,52
542,52
543,48
544,49
545,51
546,50
547,51
548,54
549,49
550,49
551,53
552,49
553,51
554,49
555,49
556,49
557,52
558,49
559,51
560,50
561,51
562,50
563,51
564,49
565,51
566,50
567,50
568,49
569,50
570,69
571,49
572,51
573,51
574,50
575,46
576,48
577,50
578,88
579,89
580,71
581,72
582,56
583,50
584,50
585,52
586,52
587,53
588,51
589,49
590,50
591,48
592,48
593,48
594,49
595,50
596,47
597,49
598,49
599,49
600,50
601,48
602,49
603,48
604,48
605,49
606,49
607,48
608,48
609,49
610,49
611,49
612,48
613,49
614,49
615,50
616,48
617,48
618,48
619,48
620,48
621,49
622,79
623,63
624,55
625,52
626,51
627,51
628,51
629,51
630,50
631,51
632,51
633,51
634,49
635,48
636,49
637,49
638,50
639,49
640,47
641,48
642,48
643,50
644,49
645,48
646,48
647,49
648,49
649,48
650,48
651,49
652,50
653,50
654,48
655,49
656,49
657,49
658,50
659,49
660,48
661,47
662,50
663,49
664,48
665,49
666,49
667,51
668,66
669,72
670,63
671,57
672,53
673,51
674,50
675,49
676,49
677,48
678,47
679,49
680,47
681,49
682,47
683,50
684,51
685,48
686,50
687,49
688,50
689,49
690,48
691,50
692,50
693,51
694,50
695,48
696,49
697,49
698,49
699,50
700,49
701,49
702,50
703,51
704,48
705,71
706,47
707,47
708,47
709,46
710,47
711,47
712,47
713,70
714,54
715,50
716,48
717,48
718,50
719,49
720,48
721,49
722,47
723,50
724,48
725,46
726,47
727,47
728,48
729,49
730,48
731,46
732,50
733,46
734,48
735,50
736,47
737,50
738,47
739,46
740,47
741,46
742,46
743,46
744,47
745,47
746,47
747,46
748,49
749,47
750,47
751,47
752,47
753,47
754,47
755,46
756,48
757,46
758,49
759,47
760,101
761,49
762,49
763,49
764,50
765,49
766,47
767,47
768,47
769,47
770,46
771,47
772,49
773,48
774,48
775,50
776,187
777,47
778,45
779,45
780,45
781,43
782,46
783,45
784,46
785,44
786,45
787,43
788,45
789,45
790,45
791,48
792,44
793,44
794,47
795,47
796,48
797,48
798,45
799,48
800,47
801,47
802,46
803,45
804,44
805,47
806,45
807,50
808,50
809,56
810,53
811,48
812,51
813,52
814,50
815,48
816,46
817,45
818,48
819,51
820,46
821,48
822,47
823,46
824,45
825,51
826,47
827,48
828,50
829,46
830,47
831,47
832,48
833,45
834,47
835,48
836,46
837,48
838,45
839,46
840,46
841,46
842,47
843,48
844,64
845,44
846,42
847,48
848,44
849,49
850,47
851,45
852,45
853,46
854,98
855,72
856,65
857,53
858,57
859,49
860,53
861,46
862,46
863,45
864,45
865,46
866,44
867,46
868,45
869,45
870,44
871,46
872,46
873,48
874,47
875,46
876,48
877,48
878,47
879,49
880,47
881,45
882,45
883,44
884,45
885,46
886,46
887,45
888,45
889,45
890,45
891,47
892,46
893,46
894,47
895,45
896,45
897,47
898,45
899,47
900,45
901,68
902,53
903,46
904,47
905,49
906,47
907,46
908,47
909,47
910,47
911,45
912,45
913,46
914,47
915,46
916,46
917,44
918,45
919,45
920,47
921,45
922,45
923,44
924,46
925,45
926,46
927,46
928,44
929,46
930,46
931,46
932,44
933,46
934,48
935,48
936,45
937,45
938,47
939,45
940,46
941,46
942,45
943,45
944,45
945,43
946,48
947,45
948,47
949,63
950,54
951,45
952,49
953,48
954,45
955,46
956,46
957,45
958,46
959,44
960,46
961,45
962,46
963,45
964,43
965,44
966,47
967,46
968,46
969,46
970,45
971,46
972,46
973,45
974,45
975,45
976,47
977,46
978,47
979,45
980,47
981,46
982,45
983,47
984,49
985,46
986,46
987,47
988,46
989,46
990,46
991,46
992,45
993,46
994,47
995,65
996,45
997,44
998,66
999,67
1000,53
1001,56
1002,49
1003,49
1004,56
1005,46
1006,44
1007,44
1008,45
1009,46
1010,44
1011,45
1012,47
1013,45
1014,44
1015,45
1016,44
1017,44
1018,45
1019,43
1020,44
1021,45
1022,44
1023,44
1024,45
1025,44
1026,46
1027,45
1028,169
1029,46
1030,43
1031,45
1032,44
1033,44
1034,45
1035,46
1036,44
1037,45
1038,44
1039,44
1040,45
1041,43
1042,45
1043,46
1044,45
1045,66
1046,61
1047,53
1048,53
1049,49
1050,46
1051,45
1052,46
1053,46
1054,46
1055,43
1056,45
1057,42
1058,42
1059,45
1060,43
1061,43
1062,45
1063,44
1064,42
1065,42
1066,44
1067,42
1068,44
1069,43
1070,42
1071,45
1072,46
1073,43
1074,44
1075,41
1076,43
1077,45
1078,44
1079,43
1080,44
1081,42
1082,42
1083,43
1084,44
1085,44
1086,44
1087,44
1088,44
1089,44
1090,44
1091,43
1092,43
1093,45
1094,44
1095,57
1096,48
1097,45
1098,48
1099,46
1100,45
1101,46
1102,45
1103,43
1104,44
1105,43
1106,44
1107,45
1108,46
1109,45
1110,44
1111,46
1112,44
1113,44
1114,43
1115,43
1116,44
1117,45
1118,43
1119,44
1120,45
1121,46
1122,44
1123,46
1124,44
1125,46
1126,44
1127,44
1128,44
1129,45
1130,43
1131,43
1132,45
1133,46
1134,45
1135,43
1136,45
1137,44
1138,44
1139,45
1140,45
1141,45
1142,46
1143,61
1144,44
1145,43
1146,81
1147,65
1148,58
1149,78
1150,54
1151,57
1152,53
1153,53
1154,54
1155,56
1156,48
1157,46
1158,45
1159,46
1160,48
1161,44
1162,45
1163,45
1164,43
1165,43
1166,44
1167,42
1168,44
1169,43
1170,44
1171,43
1172,44
1173,43
1174,43
1175,44
1176,43
1177,44
1178,43
1179,44
1180,44
1181,42
1182,42
1183,44
1184,43
1185,43
1186,43
1187,43
1188,43
1189,42
1190,43
1191,43
1192,61
1193,64
1194,55
1195,60
1196,56
1197,52
1198,52
1199,52
1200,50
1201,47
1202,45
1203,49
1204,45
1205,44
1206,43
1207,43
1208,44
1209,43
1210,43
1211,43
1212,43
1213,43
1214,42
1215,44
1216,44
1217,43
1218,43
1219,44
1220,44
1221,44
1222,44
1223,45
1224,43
1225,43
1226,45
1227,46
1228,44
1229,43
1230,43
1231,44
1232,43
1233,43
1234,44
1235,44
1236,42
1237,43
1238,42
1239,43
1240,53
1241,54
1242,49
1243,45
1244,47
1245,47
1246,45
1247,45
1248,44
1249,45
1250,43
1251,44
1252,42
1253,43
1254,43
1255,43
1256,44
1257,43
1258,44
1259,44
1260,45
1261,44
1262,44
1263,45
1264,44
1265,43
1266,44
1267,44
1268,43
1269,44
1270,43
1271,44
1272,42
1273,42
1274,43
1275,44
1276,43
1277,43
1278,185
1279,41
1280,40
1281,41
1282,41
1283,40
1284,41
1285,40
1286,60
1287,42
1288,42
1289,51
1290,53
1291,49
1292,45
1293,44
1294,45
1295,43
1296,44
1297,42
1298,41
1299,42
1300,43
1301,41
1302,42
1303,41
1304,40
1305,43
1306,40
1307,41
1308,42
1309,41
1310,43
1311,42
1312,41
1313,41
1314,42
1315,41
1316,44
1317,42
1318,43
1319,41
1320,44
1321,41
1322,42
1323,42
1324,43
1325,41
1326,43
1327,42
1328,42
1329,42
1330,43
1331,42
1332,42
1333,43
1334,44
1335,44
1336,41
1337,43
1338,41
1339,40
1340,41
1341,42
1342,50
1343,44
1344,44
1345,44
1346,47
1347,44
1348,43
1349,42
1350,42
1351,42
1352,43
1353,42
1354,43
1355,41
1356,42
1357,41
1358,43
1359,41
1360,41
1361,43
1362,40
1363,40
1364,40
1365,43
1366,42
1367,43
1368,43
1369,41
1370,43
1371,42
1372,43
1373,41
1374,44
1375,41
1376,44
1377,43
1378,43
1379,42
1380,43
1381,41
1382,41
1383,44
1384,43
1385,42
1386,42
1387,44
1388,43
1389,43
1390,43
1391,43
1392,42
1393,43
1394,50
1395,47
1396,43
1397,45
1398,44
1399,44
1400,43
1401,43
1402,42
1403,43
1404,43
1405,43
1406,43
1407,43
1408,42
1409,41
1410,43
1411,42
1412,42
1413,43
1414,43
1415,42
1416,42
1417,40
1418,41
1419,42
1420,43
1421,42
1422,51
1423,47
1424,44
1425,41
1426,43
1427,43
1428,42
1429,42
1430,42
1431,42
1432,43
1433,41
1434,43
1435,42
1436,41
1437,40
1438,43
1439,59
1440,43
1441,40
1442,43
1443,42
1444,42
1445,41
1446,42
1447,79
1448,59
1449,69
1450,52
1451,51
1452,53
1453,47
1454,45
1455,44
1456,44
1457,43
1458,48
1459,43
1460,42
1461,42
1462,41
1463,42
1464,41
1465,41
1466,39
1467,42
1468,42
1469,42
1470,40
1471,41
1472,41
1473,42
1474,41
1475,41
1476,41
1477,41
1478,41
1479,40
1480,42
1481,39
1482,44
1483,41
1484,40
1485,43
1486,43
1487,41
1488,43
1489,42
1490,41
1491,40
1492,40
1493,40
1494,43
1495,44
1496,43
1497,63
1498,66
1499,61
1500,56
1501,54
1502,55
1503,47
1504,43
1505,45
1506,44
1507,43
1508,41
1509,41
1510,40
1511,42
1512,42
1513,42
1514,40
1515,42
1516,40
1517,41
1518,42
1519,43
1520,43
1521,43
1522,41
1523,43
1524,40
1525,39
1526,42
1527,42
1528,44
1529,166
1530,42
1531,43
1532,43
1533,42
1534,42
1535,41
1536,39
1537,40
1538,40
1539,39
1540,43
1541,41
1542,42
1543,41
1544,40
1545,43
1546,61
1547,56
1548,47
1549,45
1550,44
1551,46
1552,43
1553,44
1554,44
1555,42
1556,40
1557,41
1558,42
1559,43
1560,42
1561,41
1562,40
1563,42
1564,42
1565,40
1566,41
1567,42
1568,41
1569,41
1570,41
1571,41
1572,40
1573,42
1574,42
1575,39
1576,40
1577,41
1578,41
1579,41
1580,41
1581,41
1582,42
1583,43
1584,41
1585,42
1586,40
1587,41
1588,41
1589,42
1590,42
1591,40
1592,40
1593,43
1594,43
1595,43
1596,60
1597,42
1598,53
1599,58
1600,51
1601,49
1602,48
1603,43
1604,44
1605,44
1606,43
1607,39
1608,40
1609,39
1610,41
1611,40
1612,39
1613,40
1614,40
1615,39
1616,41
1617,41
1618,41
1619,41
1620,40
1621,40
1622,39
1623,42
1624,41
1625,41
1626,42
1627,40
1628,42
1629,41
1630,38
1631,41
1632,41
1633,40
1634,40
1635,40
1636,40
1637,42
1638,41
1639,42
1640,41
1641,41
1642,40
1643,41
1644,41
1645,42
1646,40
1647,42
1648,42
1649,41
1650,40
1651,44
1652,44
1653,42
1654,42
1655,43
1656,44
1657,43
1658,41
1659,44
1660,43
1661,40
1662,42
1663,41
1664,42
1665,41
1666,41
1667,41
1668,42
1669,42
1670,41
1671,42
1672,42
1673,42
1674,41
1675,40
1676,41
1677,42
1678,42
1679,40
1680,41
1681,41
1682,42
1683,41
1684,42
1685,41
1686,41
1687,41
1688,44
1689,42
1690,41
1691,40
1692,41
1693,40
1694,41
1695,41
1696,41
1697,41
1698,42
1699,43
1700,41
1701,41
1702,40
1703,41
1704,52
1705,45
1706,45
1707,43
1708,44
1709,44
1710,43
1711,43
1712,44
1713,42
1714,42
1715,41
1716,40
1717,40
1718,43
1719,40
1720,41
1721,39
1722,41
1723,42
1724,40
1725,41
1726,41
1727,40
1728,41
1729,41
1730,39
1731,42
1732,41
1733,42
1734,41
1735,40
1736,42
1737,42
1738,42
1739,42
1740,41
1741,41
1742,41
1743,42
1744,41
1745,42
1746,41
1747,41
1748,41
1749,42
1750,43
1751,41
1752,42
1753,42
1754,39
1755,41
1756,41
1757,61
1758,49
1759,49
1760,43
1761,42
1762,41
1763,45
1764,42
1765,43
1766,43
1767,48
1768,44
1769,42
1770,41
1771,43
1772,40
1773,42
1774,41
1775,38
1776,40
1777,39
1778,42
1779,40
1780,40
1781,177
1782,42
1783,40
1784,41
1785,40
1786,43
1787,43
1788,41
1789,41
1790,40
1791,40
1792,40
1793,39
1794,40
1795,40
1796,39
1797,41
1798,40
1799,40
1800,41
1801,57
1802,47
1803,43
1804,43
1805,41
1806,43
1807,42
1808,42
1809,40
1810,40
1811,40
1812,38
1813,41
1814,40
1815,40
1816,41
1817,39
1818,39
1819,40
1820,40
1821,39
1822,40
1823,40
1824,40
1825,38
1826,41
1827,41
1828,40
1829,41
1830,40
1831,39
1832,41
1833,40
1834,41
1835,41
1836,42
1837,41
1838,43
1839,42
1840,40
1841,40
1842,41
1843,40
1844,40
1845,42
1846,41
1847,41
1848,40
1849,39
1850,38
1851,41
1852,42
1853,41
1854,39
1855,51
1856,51
1857,53
1858,51
1859,44
1860,41
1861,43
1862,44
1863,43
1864,42
1865,40
1866,41
1867,42
1868,41
1869,41
1870,40
1871,41
1872,39
1873,40
1874,41
1875,41
1876,39
1877,41
1878,40
1879,41
1880,40
1881,43
1882,41
1883,40
1884,40
1885,40
1886,40
1887,40
1888,39
1889,39
1890,40
1891,40
1892,41
1893,42
1894,40
1895,41
1896,40
1897,40
1898,42
1899,42
1900,41
1901,38
1902,41
1903,41
1904,40
1905,41
1906,39
1907,40
1908,77
1909,52
1910,59
1911,49
1912,45
1913,44
1914,42
1915,46
1916,52
1917,42
1918,40
1919,43
1920,40
1921,40
1922,40
1923,39
1924,40
1925,40
1926,41
1927,40
1928,39
1929,40
1930,41
1931,40
1932,41
1933,40
1934,40
1935,40
1936,40
1937,41
1938,39
1939,40
1940,41
1941,40
1942,39
1943,39
1944,39
1945,40
1946,39
1947,41
1948,41
1949,39
1950,42
1951,41
1952,41
1953,41
1954,41
1955,41
1956,40
1957,40
1958,39
1959,39
1960,40
1961,39
1962,48
1963,54
1964,49
1965,48
1966,47
1967,45
1968,43
1969,47
1970,46
1971,44
1972,39
1973,40
1974,40
1975,39
1976,41
1977,40
1978,39
1979,41
1980,39
1981,40
1982,41
1983,41
1984,39
1985,40
1986,40
1987,40
1988,41
1989,40
1990,41
1991,40
1992,39
1993,40
1994,39
1995,43
1996,39
1997,39
1998,41
1999,39
2000,39
2001,40
2002,40
2003,41
2004,41
2005,41
2006,39
2007,40
2008,41
2009,39
2010,39
2011,40
2012,41
2013,40
2014,40
2015,50
2016,43
2017,44
2018,44
2019,42
2020,42
2021,40
2022,39
2023,40
2024,44
2025,39
2026,38
2027,38
2028,39
2029,38
2030,40
2031,143
2032,42
2033,39
2034,40
2035,37
2036,40
2037,38
2038,40
2039,39
2040,39
2041,40
2042,39
2043,39
2044,39
2045,39
2046,38
2047,39
2048,38
2049,42
2050,40
2051,39
2052,39
2053,39
2054,38
2055,45
2056,45
2057,40
2058,39
2059,39
2060,41
2061,42
2062,45
2063,47
2064,42
2065,39
2066,41
2067,42
2068,107
2069,62
2070,46
2071,45
2072,43
2073,62
2074,40
2075,42
2076,42
2077,42
2078,43
2079,42
2080,39
2081,45
2082,41
2083,43
2084,40
2085,41
2086,39
2087,41
2088,39
2089,40
2090,39
2091,40
2092,40
2093,39
2094,41
2095,38
2096,38
2097,39
2098,38
2099,38
2100,37
2101,37
2102,40
2103,39
2104,38
2105,39
2106,39
2107,39
2108,39
2109,40
2110,39
2111,40
2112,40
2113,38
2114,38
2115,40
2116,38
2117,41
2118,39
2119,40
2120,40
2121,39
2122,72
2123,57
2124,48
2125,50
2126,51
2127,51
2128,49
2129,49
2130,51
2131,53
2132,52
2133,56
2134,51
2135,58
2136,51
2137,50
2138,48
2139,52
2140,52
2141,51
2142,43
2143,41
2144,40
2145,39
2146,39
2147,38
2148,38
2149,37
2150,39
2151,39
2152,40
2153,38
2154,38
2155,39
2156,38
2157,40
2158,39
2159,39
2160,38
2161,38
2162,38
2163,38
2164,38
2165,39
2166,38
2167,40
2168,38
2169,39
2170,40
2171,56
2172,43
2173,39
2174,41
2175,43
2176,41
2177,42
2178,40
2179,41
2180,41
2181,39
2182,38
2183,38
2184,39
2185,39
2186,41
2187,42
2188,38
2189,41
2190,42
2191,40
2192,41
2193,40
2194,40
2195,38
2196,39
2197,40
2198,39
2199,40
2200,38
2201,40
2202,39
2203,39
2204,39
2205,38
2206,40
2207,39
2208,38
2209,38
2210,40
2211,39
2212,39
2213,38
2214,39
2215,39
2216,40
2217,39
2218,41
2219,38
2220,39
2221,39
2222,39
2223,40
2224,38
2225,40
2226,39
2227,44
2228,42
2229,41
2230,41
2231,42
2232,38
2233,38
2234,39
2235,40
2236,39
2237,38
2238,41
2239,40
2240,39
