Trial,Latency_us
0,43
1,36
2,67
3,139
4,275
5,42
6,36
7,28
8,58
9,107
10,17
11,39
12,27
13,131
14,19
15,17
16,51
17,37
18,49
19,30
20,17
21,25
22,17
23,49
24,33
25,29
26,32
27,67
28,151
29,216
30,15
31,19
32,463
33,19
34,478
35,129
36,128
37,139
38,17
39,654
40,19
41,247
42,58
43,24
44,65
45,16
46,682
47,20
48,80
49,15
50,144
51,15
52,375
53,87
54,119
55,47
56,399
57,16
58,144
59,348
60,166
61,589
62,15
63,81
64,179
65,135
66,276
67,50
68,525
69,345
70,462
71,34
72,1632
73,746
74,949
75,40
76,37
77,427
78,26
79,131
80,38
81,24
82,35
83,40
84,26
85,35
86,50
87,36
88,38
89,38
90,31
91,32
92,29
93,47
94,33
95,36
96,33
97,35
98,37
99,319
100,49
101,32
102,37
103,37
104,32
105,34
106,38
107,57
108,226
109,51
110,31
111,31
112,32
113,31
114,33
115,32
116,31
117,34
118,29
119,32
120,31
121,32
122,33
123,32
124,29
125,33
126,32
127,33
128,34
129,39
130,45
131,31
132,32
133,32
134,33
135,29
136,34
137,23
138,53
139,283
140,34
141,34
142,29
143,36
144,35
145,30
146,135
147,126
148,23
149,164
150,30
151,31
152,28
153,22
154,33
155,29
156,85
157,299
158,128
159,78
160,38
161,221
162,148
163,43
164,1138
165,206
166,42
167,43
168,748
169,208
170,84
171,151
172,210
173,127
174,51
175,1397
176,239
177,34
178,52
179,44
180,211
181,50
182,332
183,855
184,863
185,1473
186,49
187,17
188,1335
189,39
190,57
191,34
192,64
193,674
194,1743
195,675
196,45
197,231
198,107
199,66
200,39
201,94
202,82
203,130
204,136
205,106
206,333
207,163
208,47
209,70
210,54
211,74
212,915
213,35
214,150
215,887
216,690
217,29
218,104
219,870
220,1564
221,1589
222,1573
223,32
224,36
225,1476
226,906
227,666
228,548
229,30
230,27
231,33
232,39
233,926
234,1649
235,40
236,34
237,32
238,58
239,1509
240,2494
241,49
242,807
243,42
244,59
245,877
246,145
247,92
248,6139
249,3220
250,43
251,29
252,240
253,9739
254,1558
255,1452
256,3144
257,17622
258,40
259,797
260,45
261,367
262,43
263,4880
264,1443
265,121
266,219
267,74
268,69
269,55
270,85
271,36
272,144
273,33
274,97
275,37
276,65
277,34
278,41
279,130
280,35
281,183
282,66
283,90
284,423
285,1750
286,1514
287,88
288,35
289,364
290,4453
291,35
292,67
293,36
294,118
295,478
296,200
297,226
298,84
299,69
300,80
301,36
302,39
303,67
304,76
305,155
306,35
307,75
308,88
309,36
310,154
311,127
312,37
313,87
314,83
315,99
316,230
317,75
318,55
319,61
320,57
321,34
322,142
323,42
324,34
325,64
326,109
327,99
328,64
329,48
330,65
331,55
332,153
333,80
334,84
335,49
336,727
337,97
338,83
339,51
340,264
341,732
342,340
343,34
344,76
345,687
346,197
347,167
348,665
349,87
350,34
351,94
352,658
353,41
354,59
355,40
356,35
357,35
358,155
359,65
360,414
361,36
362,46
363,39
364,35
365,228
366,51
367,41
368,37
369,50
370,46
371,48
372,77
373,47
374,103
375,53
376,124
377,73
378,55
379,41
380,21
381,867
382,30
383,38
384,35
385,49
386,1729
387,33
388,91
389,52
390,71
391,2727
392,49
393,45
394,3753
395,49
396,28
397,50
398,43
399,5591
400,10269
401,11600
402,8827
403,54
404,4860
405,20
406,16443
407,59
408,59
409,48
410,45
411,88
412,55
413,60
414,35
415,58
416,661
417,277
418,286
419,164
420,158
421,1140
422,43
423,59
424,82
425,35
426,47
427,1433
428,39
429,356
430,536
431,37
432,118
433,188
434,352
435,1362
436,46
437,366
438,36
439,266
440,43
441,37
442,258
443,43
444,91
445,100
446,1339
447,36
448,55
449,41
450,36
451,78
452,46
453,80
454,37
455,371
456,48
457,333
458,54
459,318
460,43
461,329
462,36
463,326
464,834
465,3573
466,189
467,150
468,113
469,49
470,148
471,347
472,277
473,134
474,100
475,85
476,42
477,35
478,38
479,133
480,49
481,98
482,48
483,57
484,85
485,103
486,54
487,46
488,79
489,35
490,36
491,35
492,217
493,50
494,63
495,86
496,58
497,44
498,60
499,105
500,71
501,34
502,150
503,124
504,44
505,65
506,34
507,45
508,34
509,56
510,54
511,78
512,187
513,83
514,35
515,68
516,84
517,229
518,42
519,58
520,55
521,60
522,33
523,208
524,103
525,51
526,131
527,165
528,44
529,65
530,35
531,263
532,36
533,105
534,285
535,105
536,60
537,36
538,85
539,80
540,116
541,34
542,102
543,126
544,35
545,50
546,49
547,278
548,66
549,36
550,39
551,256
552,35
553,45
554,100
555,54
556,37
557,42
558,75
559,35
560,35
561,156
562,35
563,62
564,53
565,65
566,33
567,36
568,36
569,88
570,46
571,54
572,91
573,96
574,49
575,74
576,70
577,38
578,58
579,35
580,161
581,40
582,44
583,68
584,138
585,144
586,49
587,108
588,50
589,97
590,45
591,52
592,36
593,64
594,52
595,45
596,79
597,34
598,2302
599,927
600,52
601,22
602,20
603,1239
604,630
605,1265
606,705
607,1095
608,59
609,20020
610,20044
611,3004
612,10993
613,59
614,9562
615,44
616,184
617,65
618,33
619,181
620,34
621,135
622,10012
623,104
624,10191
625,443
626,41
627,49
628,36
629,64
630,2493
631,5335
632,21
633,33
634,3278
635,22
636,999
637,79
638,5921
639,3664
640,3722
641,1376
642,49
643,240
644,2055
645,43
646,9531
647,25
648,45
649,42
650,57
651,44
652,44
653,68
654,36
655,50
656,53
657,37
658,24
659,50
660,54
661,61
662,57
663,31
664,42
665,53
666,27
667,33
668,43
669,45
670,52
671,36
672,47
673,37
674,41
675,35
676,41
677,35
678,41
679,36
680,40
681,32
682,36
683,41
684,33
685,37
686,42
687,32
688,38
689,41
690,31
691,35
692,42
693,37
694,42
695,35
696,41
697,36
698,41
699,36
700,41
701,37
702,40
703,51
704,49
705,42
706,28
707,204
708,73
709,47
710,29
711,42
712,49
713,70
714,57
715,35
716,41
717,43
718,21
719,535
720,52
721,39
722,77
723,42
724,60
725,52
726,172
727,54
728,42
729,35
730,40
731,29
732,38
733,54
734,57
735,57
736,164
737,36
738,43
739,36
740,45
741,72
742,592
743,3827
744,42
745,4947
746,30
747,80
748,35
749,696
750,45
751,2909
752,105
753,363
754,129
755,39
756,1315
757,1222
758,35
759,37
760,22
761,150
762,702
763,30
764,34
765,36
766,8204
767,4097
768,55
769,4077
770,53
771,8196
772,45
773,1057
774,10034
775,11914
776,26
777,50
778,18
779,31
780,55
781,10006
782,48
783,11684
784,133
785,17180
786,43
787,69
788,159
789,48
790,40
791,19188
792,4110
793,81
794,77
795,4368
796,73
797,60
798,83
799,58
800,46
801,36
802,12317
803,38
804,28
805,42
806,41
807,36
808,40
809,36
810,43
811,32
812,43
813,51
814,45
815,46
816,37
817,42
818,54
819,38
820,90
821,63
822,29
823,47
824,84
825,157
826,48
827,42
828,45
829,80
830,58
831,51
832,25
833,43
834,31
835,53
836,106
837,10745
838,63
839,35
840,757
841,50
842,3524
843,1371
844,47
845,1229
846,62
847,149
848,45
849,683
850,8345
851,4152
852,53
853,4036
854,1220
855,6525
856,545
857,9673
858,267
859,55
860,34
861,67
862,2990
863,36
864,5255
865,9882
866,43
867,38
868,36
869,30469
870,47
871,3271
872,44
873,4763
874,44
875,7398
876,62
877,50
878,33
879,14840
880,5698
881,636
882,1062
883,47
884,1372
885,1460
886,1272
887,2047
888,1838
889,138
890,323
891,2051
892,1918
893,418
894,63
895,1623
896,5181
897,21
898,47
899,1634
900,509
901,3700
902,429
903,586
904,1952
905,11100
906,3805
907,37
908,811
909,451
910,55
911,94
912,338
913,816
914,36
915,293
916,37
917,6500
918,147
919,215
920,230
921,35
922,3747
923,41
924,1283
925,47
926,24
927,266
928,60
929,2744
930,37
931,3560
932,2659
933,44
934,1622
935,6352
936,332
937,44
938,47
939,50
940,62
941,254
942,35
943,58
944,27
945,55
946,38
947,615
948,42
949,725
950,4052
951,3524
952,3470
953,15270
954,2262
955,43
956,14740
957,8056
958,2117
959,519
960,50
961,148
962,35
963,35
964,318
965,142
966,36
967,47
968,35
969,6789
970,897
971,1596
972,49
973,798
974,33
975,11756
976,338
977,45
978,838
979,36
980,3085
981,449
982,2012
983,1093
984,43
985,9646
986,1164
987,3715
988,263
989,21
990,43
991,24
992,49
993,1883
994,2097
995,33
996,56
997,3511
998,6507
999,1828
1000,165
1001,64
1002,172
1003,35
1004,2790
1005,5375
1006,75
1007,49
1008,45
1009,17
1010,48
1011,68
1012,61
1013,47
1014,9490
1015,949
1016,118
1017,33
1018,119
1019,2633
1020,6276
1021,1104
1022,5464
1023,620
1024,35
1025,12689
1026,1811
1027,67
1028,43
1029,60
1030,36
1031,139
1032,337
1033,38
1034,2493
1035,8334
1036,692
1037,1453
1038,692
1039,43
1040,88
1041,946
1042,38
1043,42
1044,35
1045,37
1046,49
1047,48
1048,44
1049,63
1050,37
1051,51
1052,3418
1053,5682
1054,35
1055,50
1056,36
1057,86
1058,1096
1059,2734
1060,43
1061,47
1062,41
1063,43
1064,45
1065,35
1066,35
1067,35
1068,57
1069,2409
1070,795
1071,38
1072,41
1073,23
1074,43
1075,349
1076,1421
1077,36
1078,35
1079,35
1080,288
1081,5134
1082,441
1083,1206
1084,1262
1085,4395
1086,7808
1087,54
1088,2331
1089,128
1090,201
1091,753
1092,1154
1093,6685
1094,2618
1095,72
1096,58
1097,182
1098,88
1099,55
1100,77
1101,296
1102,172
1103,949
1104,512
1105,1254
1106,42
1107,365
1108,74
1109,1498
1110,331
1111,386
1112,281
1113,1150
1114,249
1115,722
1116,916
1117,41
1118,34
1119,44
1120,71
1121,99
1122,3777
1123,386
1124,383
1125,380
1126,772
1127,97
1128,1147
1129,1645
1130,35
1131,34
1132,250
1133,34
1134,1418
1135,3581
1136,222
1137,387
1138,369
1139,417
1140,124
1141,38
1142,400
1143,3146
1144,43
1145,1860
1146,1751
1147,33
1148,498
1149,4206
1150,711
1151,42
1152,2276
1153,37
1154,39
1155,39
1156,55
1157,42
1158,34
1159,41
1160,37
1161,40
1162,34
1163,44
1164,43
1165,22
1166,35
1167,43
1168,45
1169,45
1170,49
1171,41
1172,25
1173,44
1174,27
1175,53
1176,50
1177,64
1178,42
1179,38
1180,51
1181,49
1182,39
1183,59
1184,189
1185,29
1186,30
1187,28
1188,401
1189,38
1190,227
1191,204
1192,160
1193,168
