Trial,Latency_us
0,59
1,37
2,37
3,40
4,39
5,46
6,39
7,46
8,41
9,39
10,42
11,173
12,38
13,43
14,31
15,42
16,42
17,40
18,42
19,41
20,45
21,40
22,41
23,32
24,42
25,36
26,41
27,38
28,40
29,37
30,42
31,39
32,39
33,31
34,44
35,43
36,41
37,40
38,42
39,39
40,41
41,43
42,58
43,48
44,56
45,37
46,47
47,45
48,51
49,50
50,45
51,47
52,45
53,51
54,46
55,35
56,49
57,47
58,48
59,50
60,46
61,50
62,48
63,33
64,35
65,39
66,48
67,42
68,47
69,46
70,48
71,45
72,33
73,32
74,41
75,40
76,48
77,39
78,50
79,44
80,48
81,46
82,49
83,46
84,49
85,44
86,49
87,43
88,49
89,43
90,49
91,48
92,54
93,48
94,54
95,47
96,55
97,47
98,54
99,47
100,54
101,51
102,55
103,48
104,53
105,48
106,54
107,50
108,55
109,41
110,43
111,55
112,47
113,54
114,48
115,46
116,44
117,68
118,50
119,62
120,59
121,76
122,51
123,81
124,46
125,54
126,44
127,46
128,49
129,76
130,53
131,52
132,44
133,31
134,45
135,46
136,58
137,35
138,41
139,41
140,57
141,47
142,43
143,47
144,44
145,48
146,44
147,43
148,41
149,48
150,32
151,55
152,42
153,42
154,42
155,43
156,64
157,43
158,41
159,43
160,48
161,41
162,43
163,43
164,39
165,40
166,38
167,43
168,39
169,33
170,43
171,42
172,43
173,44
174,39
175,43
176,31
177,46
178,44
179,42
180,42
181,40
182,48
183,36
184,40
185,45
186,44
187,40
188,32
189,59
190,42
191,45
192,42
193,42
194,32
195,40
196,44
197,32
198,42
199,47
200,48
201,44
202,46
203,38
204,40
205,35
206,48
207,38
208,52
209,52
210,42
211,45
212,45
213,40
214,31
215,46
216,45
217,47
218,44
219,43
220,42
221,45
222,49
223,42
224,43
225,41
226,47
227,40
228,42
229,43
230,43
231,45
232,45
233,41
234,41
235,43
236,46
237,41
238,40
239,31
240,35
241,42
242,42
243,41
244,41
245,42
246,31
247,45
248,44
249,40
250,46
251,42
252,42
253,41
254,44
255,48
256,43
257,42
258,45
259,42
260,45
261,39
262,43
263,42
264,42
265,47
266,48
267,48
268,47
269,32
270,47
