Trial,Latency_us
0,873
1,84
2,77
3,76
4,74
5,72
6,138
7,84
8,74
9,72
10,73
11,72
12,79
13,77
14,79
15,85
16,78
17,76
18,73
19,71
20,70
21,68
22,68
23,68
24,75
25,68
26,71
27,70
28,67
29,69
30,68
31,72
32,85
33,67
34,68
35,68
36,72
37,74
38,77
39,77
40,71
41,74
42,74
43,71
44,69
45,68
46,68
47,103
48,67
49,69
50,68
51,67
52,63
53,66
54,67
55,69
56,68
57,72
58,67
59,70
60,69
61,67
62,70
63,69
64,70
65,68
66,68
67,67
68,67
69,66
70,69
71,69
72,84
73,72
74,69
75,68
76,68
77,67
78,70
79,133
80,65
81,69
82,70
83,69
84,69
85,69
86,68
87,69
88,67
89,66
90,69
91,80
92,68
93,64
94,66
95,64
96,65
97,64
98,62
99,65
100,63
101,64
102,63
103,65
104,65
105,64
106,64
107,65
108,69
109,69
110,68
111,65
112,67
113,68
114,63
115,62
116,63
117,63
118,64
119,63
120,66
121,64
122,63
123,65
124,65
125,64
126,63
127,63
128,63
129,63
130,62
131,62
132,64
133,63
134,63
135,63
136,64
137,63
138,64
139,63
140,63
141,160
142,62
143,62
144,79
145,64
146,66
147,67
148,67
149,66
150,66
151,65
152,67
153,64
154,62
155,64
156,64
157,62
158,64
159,64
160,63
161,61
162,64
163,62
164,64
165,63
166,65
167,63
168,67
169,66
170,63
171,62
172,62
173,64
174,64
175,62
176,65
177,64
178,65
179,63
180,64
181,83
182,64
183,68
184,64
185,66
186,66
187,65
188,63
189,63
190,62
191,64
192,63
193,62
194,65
195,63
196,62
197,64
198,61
199,64
200,65
201,63
202,62
203,64
204,63
205,63
206,74
207,59
208,61
209,59
210,57
211,59
212,57
213,58
214,58
215,58
216,63
217,59
218,60
219,74
220,61
221,61
222,62
223,60
224,61
225,63
226,62
227,60
228,58
229,59
230,58
231,59
232,62
233,59
234,57
235,57
236,59
237,59
238,58
239,59
240,56
241,60
242,59
243,59
244,60
245,56
246,59
247,59
248,60
249,58
250,60
251,58
252,57
253,60
254,57
255,61
256,59
257,55
258,57
259,72
260,63
261,62
262,62
263,61
264,62
265,149
266,64
267,62
268,60
269,57
270,58
271,57
272,58
273,60
274,62
275,60
276,60
277,58
278,61
279,57
280,60
281,61
282,58
283,59
284,57
285,59
286,58
287,58
288,60
289,57
290,60
291,58
292,60
293,57
294,57
295,60
296,61
297,58
298,76
299,68
300,63
301,62
302,62
303,64
304,64
305,68
306,67
307,59
308,58
309,58
310,58
311,57
312,61
313,59
314,59
315,60
316,58
317,59
318,58
319,60
320,62
321,59
322,58
323,69
324,55
325,56
326,57
327,57
328,56
329,56
330,55
331,55
332,56
333,56
334,57
335,55
336,60
337,90
338,67
339,66
340,68
341,68
342,67
343,59
344,53
345,53
346,53
347,51
348,54
349,53
350,52
351,55
352,52
353,52
354,53
355,51
356,54
357,52
358,53
359,53
360,53
361,51
362,53
363,52
364,53
365,53
366,53
367,52
368,51
369,53
370,52
371,53
372,52
373,52
374,53
375,53
376,55
377,52
378,73
379,73
380,66
381,54
382,53
383,54
384,53
385,54
386,58
387,51
388,53
389,52
390,53
391,52
392,52
393,52
394,54
395,53
396,53
397,51
398,52
399,55
400,54
401,55
402,51
403,52
404,54
405,52
406,54
407,52
408,53
409,54
410,51
411,57
412,53
413,52
414,51
415,54
416,54
417,55
418,56
419,53
420,63
421,60
422,56
423,56
424,55
425,57
426,54
427,55
428,54
429,54
430,52
431,54
432,56
433,54
434,53
435,54
436,56
437,54
438,53
439,55
440,52
441,54
442,53
443,56
444,53
445,52
446,55
447,56
448,52
449,52
450,54
451,54
452,53
453,55
454,54
455,55
456,55
457,54
458,55
459,59
460,56
461,54
462,55
463,86
464,100
465,72
466,65
467,59
468,52
469,53
470,52
471,54
472,54
473,54
474,56
475,53
476,52
477,51
478,50
479,51
480,51
481,50
482,51
483,52
484,51
485,49
486,50
487,51
488,52
489,51
490,50
491,52
492,51
493,51
494,50
495,50
496,51
497,50
498,52
499,51
500,50
501,51
502,52
503,51
504,51
505,52
506,72
507,63
508,53
509,51
510,51
511,53
512,52
513,52
514,154
515,49
516,51
517,48
518,49
519,50
520,52
521,51
522,49
523,52
524,53
525,52
526,53
527,51
528,48
529,50
530,52
531,52
532,50
533,50
534,51
535,50
536,50
537,52
538,52
539,53
540,52
541,53
542,49
543,51
544,52
545,50
546,52
547,52
548,52
549,96
550,71
551,59
552,55
553,51
554,56
555,52
556,54
557,55
558,55
559,50
560,51
561,50
562,50
563,49
564,51
565,50
566,51
567,51
568,50
569,51
570,51
571,50
572,52
573,50
574,50
575,53
576,50
577,52
578,50
579,53
580,52
581,53
582,52
583,51
584,51
585,50
586,53
587,51
588,50
589,49
590,51
591,49
592,49
593,78
594,63
595,53
596,53
597,51
598,51
599,71
600,52
601,50
602,49
603,49
604,49
605,48
606,49
607,48
608,49
609,48
610,49
611,48
612,50
613,49
614,49
615,48
616,48
617,48
618,48
619,49
620,49
621,50
622,49
623,49
624,48
625,49
626,48
627,49
628,52
629,48
630,47
631,48
632,48
633,49
634,50
635,49
636,51
637,49
638,48
639,70
640,76
641,61
642,64
643,58
644,53
645,52
646,52
647,55
648,52
649,50
650,49
651,49
652,50
653,49
654,49
655,47
656,51
657,47
658,47
659,48
660,48
661,48
662,48
663,49
664,50
665,47
666,49
667,47
668,48
669,49
670,49
671,48
672,49
673,48
674,47
675,49
676,47
677,47
678,49
679,48
680,49
681,49
682,48
683,70
684,70
685,59
686,59
687,52
688,51
689,53
690,51
691,52
692,50
693,49
694,50
695,48
696,49
697,49
698,51
699,49
700,49
701,49
702,49
703,49
704,49
705,49
706,48
707,49
708,49
709,49
710,49
711,49
712,50
713,49
714,48
715,48
716,50
717,49
718,50
719,49
720,48
721,49
722,49
723,53
724,48
725,48
726,49
727,49
728,70
729,67
730,67
731,67
732,61
733,61
734,57
735,71
736,52
737,51
738,49
739,51
740,52
741,48
742,48
743,49
744,49
745,49
746,47
747,48
748,47
749,47
750,48
751,48
